Descrição;Largura;Altura;Neighbor;Métrica;Acurácia
Quadrado pequeno;10;10;1;Euclidiana;0,9
Quadrado pequeno;10;10;1;Manhattan;0,9
Quadrado pequeno;10;10;1;Minkowski;0,9
Quadrado pequeno;10;10;3;Euclidiana;0,894
Quadrado pequeno;10;10;3;Manhattan;0,894
Quadrado pequeno;10;10;3;Minkowski;0,894
Quadrado pequeno;10;10;5;Euclidiana;0,886
Quadrado pequeno;10;10;5;Manhattan;0,886
Quadrado pequeno;10;10;5;Minkowski;0,886
Valores Baixos;10;30;1;Euclidiana;0,921
Valores Baixos;10;30;1;Manhattan;0,921
Valores Baixos;10;30;1;Minkowski;0,921
Valores Baixos;10;30;3;Euclidiana;0,908
Valores Baixos;10;30;3;Manhattan;0,908
Valores Baixos;10;30;3;Minkowski;0,908
Valores Baixos;10;30;5;Euclidiana;0,902
Valores Baixos;10;30;5;Manhattan;0,902
Valores Baixos;10;30;5;Minkowski;0,902
Proporcional – 1;12;15;1;Euclidiana;0,909
Proporcional – 1;12;15;1;Manhattan;0,909
Proporcional – 1;12;15;1;Minkowski;0,909
Proporcional – 1;12;15;3;Euclidiana;0,907
Proporcional – 1;12;15;3;Manhattan;0,907
Proporcional – 1;12;15;3;Minkowski;0,907
Proporcional – 1;12;15;5;Euclidiana;0,892
Proporcional – 1;12;15;5;Manhattan;0,892
Proporcional – 1;12;15;5;Minkowski;0,892
Hipótese Inicial;20;10;1;Euclidiana;0,908
Hipótese Inicial;20;10;1;Manhattan;0,908
Hipótese Inicial;20;10;1;Minkowski;0,908
Hipótese Inicial;20;10;3;Euclidiana;0,905
Hipótese Inicial;20;10;3;Manhattan;0,905
Hipótese Inicial;20;10;3;Minkowski;0,905
Hipótese Inicial;20;10;5;Euclidiana;0,901
Hipótese Inicial;20;10;5;Manhattan;0,901
Hipótese Inicial;20;10;5;Minkowski;0,901
Proporcional – 2;20;25;1;Euclidiana;0,925
Proporcional – 2;20;25;1;Manhattan;0,925
Proporcional – 2;20;25;1;Minkowski;0,925
Proporcional – 2;20;25;3;Euclidiana;0,928
Proporcional – 2;20;25;3;Manhattan;0,928
Proporcional – 2;20;25;3;Minkowski;0,928
Proporcional – 2;20;25;5;Euclidiana;0,908
Proporcional – 2;20;25;5;Manhattan;0,908
Proporcional – 2;20;25;5;Minkowski;0,908
Extremos Invertidos 1;20;70;1;Euclidiana;0,926
Extremos Invertidos 1;20;70;1;Manhattan;0,926
Extremos Invertidos 1;20;70;1;Minkowski;0,926
Extremos Invertidos 1;20;70;3;Euclidiana;0,925
Extremos Invertidos 1;20;70;3;Manhattan;0,925
Extremos Invertidos 1;20;70;3;Minkowski;0,925
Extremos Invertidos 1;20;70;5;Euclidiana;0,916
Extremos Invertidos 1;20;70;5;Manhattan;0,916
Extremos Invertidos 1;20;70;5;Minkowski;0,916
Mais Frequente – 3;30;40;1;Euclidiana;0,922
Mais Frequente – 3;30;40;1;Manhattan;0,922
Mais Frequente – 3;30;40;1;Minkowski;0,922
Mais Frequente – 3;30;40;3;Euclidiana;0,909
Mais Frequente – 3;30;40;3;Manhattan;0,909
Mais Frequente – 3;30;40;3;Minkowski;0,909
Mais Frequente – 3;30;40;5;Euclidiana;0,908
Mais Frequente – 3;30;40;5;Manhattan;0,908
Mais Frequente – 3;30;40;5;Minkowski;0,908
Proporcional – 3;32;40;1;Euclidiana;0,927
